unified_observation_id;source_id;dataset_id;source_observation_id;latitude;longitude;coord_x;coord_y;crs;country;state;sample_date;sample_year;sample_period_start;sample_period_end;depth_top_cm;depth_bottom_cm;layer_thickness_cm;carbon_content_g_kg;carbon_analysis_method;carbon_stock_kg_m2;carbon_stock_mg_ha;bulk_density_g_cm3;coarse_fragments_fraction;carbon_stock_00_05;carbon_stock_05_15;carbon_stock_15_30;carbon_stock_30_60;carbon_stock_60_100;target_kind;target_value;target_unit;derivation_method;quality_flag;duplicate_group_id;duplicate_status;duplicate_resolution
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:459.0:10-20:10-20:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;459.0;-7.811916653;-35.84208332;-35.84208332;-7.811916653;EPSG:4326;Brazil;;;;;;10;20;10;19.754303;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;19.754303;g/kg;reported_or_unit_converted_by_source;ok;dup-001405;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:460.0:20-30:20-30:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;460.0;-7.811916653;-35.84208332;-35.84208332;-7.811916653;EPSG:4326;Brazil;;;;;;20;30;10;16.346333;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;16.346333;g/kg;reported_or_unit_converted_by_source;ok;dup-001406;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:461.0:30-40:30-40:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;461.0;-7.811916653;-35.84208332;-35.84208332;-7.811916653;EPSG:4326;Brazil;;;;;;30;40;10;11.174721;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;11.174721;g/kg;reported_or_unit_converted_by_source;ok;dup-001407;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:462.0:40-60:40-60:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;462.0;-7.811916653;-35.84208332;-35.84208332;-7.811916653;EPSG:4326;Brazil;;;;;;40;60;20;8.802164;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;8.802164;g/kg;reported_or_unit_converted_by_source;ok;dup-001408;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:470.0:00-10:0-10:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;470.0;-7.804166653;-35.83777776;-35.83777776;-7.804166653;EPSG:4326;Brazil;;;;;;0;10;10;13.011417;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;13.011417;g/kg;reported_or_unit_converted_by_source;ok;dup-001397;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:471.0:10-20:10-20:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;471.0;-7.804166653;-35.83777776;-35.83777776;-7.804166653;EPSG:4326;Brazil;;;;;;10;20;10;9.130555;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;9.130555;g/kg;reported_or_unit_converted_by_source;ok;dup-001398;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:474.0:20-30:20-30:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;474.0;-7.804166653;-35.83777776;-35.83777776;-7.804166653;EPSG:4326;Brazil;;;;;;20;30;10;13.940411;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;13.940411;g/kg;reported_or_unit_converted_by_source;ok;dup-001399;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:475.0:30-40:30-40:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;475.0;-7.804166653;-35.83777776;-35.83777776;-7.804166653;EPSG:4326;Brazil;;;;;;30;40;10;9.888374;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;9.888374;g/kg;reported_or_unit_converted_by_source;ok;dup-001400;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:476.0:40-60:40-60:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;476.0;-7.804166653;-35.83777776;-35.83777776;-7.804166653;EPSG:4326;Brazil;;;;;;40;60;20;6.742963;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;6.742963;g/kg;reported_or_unit_converted_by_source;ok;dup-001401;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:477.0:60-80:60-80:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;477.0;-7.804166653;-35.83777776;-35.83777776;-7.804166653;EPSG:4326;Brazil;;;;;;60;80;20;5.605279;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;5.605279;g/kg;reported_or_unit_converted_by_source;ok;dup-001402;active;retained_ambiguous_overlap:discordant_target_value
