SOURCE_ID;DATASET_ID;LATITUDE;LONGITUDE;CRS;COUNTRY;STATE;SAMPLE_DATE;SAMPLE_YEAR;Stock_00_05;Stock_05_15;Stock_15_30;Stock_30_60;Stock_60_100;PROFILE_LAYER_COUNT_INPUT;PROFILE_LAYER_COUNT_USED;EXACT_DUPLICATE_LAYER_COUNT;OVERLAPPING_INPUT_LAYERS;DEPTH_HARMONIZATION_METHOD;SPLINE_SUPPORTED;SPLINE_REASON;SPLINE_LAMBDA;SPLINE_RESCALE_FACTOR;SPLINE_PRE_RESCALE_MASS_BALANCE_ERROR_PCT;STANDARD_DEPTH_REFERENCE_STOCK_Mg_ha;STANDARD_DEPTH_OUTPUT_STOCK_Mg_ha;MASS_BALANCE_ERROR_PCT;EXTRAPOLATED;COVERAGE_00_05;COVERAGE_05_15;COVERAGE_15_30;COVERAGE_30_60;COVERAGE_60_100;OVERLAP_REFERENCE_Stock_00_05;OVERLAP_REFERENCE_Stock_05_15;OVERLAP_REFERENCE_Stock_15_30;OVERLAP_REFERENCE_Stock_30_60;OVERLAP_REFERENCE_Stock_60_100
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.347225;-53.657006;EPSG:4326;Brazil;RS;;;11.7085266905;14.9544167094;19.1939739597;33.1585336404;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9901333853;0.9964934901;79.015451;79.015451;0;false;1;1;1;1;0;12.103069;14.1076125;19.179155;33.6256145;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.347758;-53.655589;EPSG:4326;Brazil;RS;;;10.0835829712;15.7057274106;21.1005508581;46.67290376;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9970374994;0.2971303062;93.562765;93.562765;0;false;1;1;1;1;0;10.23579;15.079918;21.7201495;46.5269075;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348918;-53.654837;EPSG:4326;Brazil;RS;;;8.2445330859;18.3764762677;26.4678771166;30.8641835298;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9935530942;0.648873809;83.95307;83.95307;0;false;1;1;1;1;0;8.243311;18.6934675;25.0180985;31.998193;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.35085;-53.653878;EPSG:4326;Brazil;RS;;;9.3806979966;12.4670386579;14.2511444464;14.0205588991;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9803452679;2.0048785569;50.11944;50.11944;0;false;1;1;1;1;0;9.77018;11.8543085;13.600557;14.8943945;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351158;-53.653793;EPSG:4326;Brazil;RS;;;7.3001768063;8.8796757355;10.9801787338;17.7628167243;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9876738976;1.2479931284;44.922848;44.922848;0;false;1;1;1;1;0;7.579484;8.309273;10.919768;18.114323;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.352144;-53.655044;EPSG:4326;Brazil;RS;;;9.911158748;14.5950719295;19.0333012347;36.4824690877;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9937443688;0.6295010462;80.022001;80.022001;0;false;1;1;1;1;0;10.115855;13.896053;19.458624;36.551469;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351385;-53.653737;EPSG:4326;Brazil;RS;;;8.1538950711;11.5205729906;13.686522438;25.9904845003;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9913110213;0.8765138825;59.351475;59.351475;0;false;1;1;1;1;0;8.366209;10.90384;13.7761775;26.3052485;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.350881;-53.655464;EPSG:4326;Brazil;RS;;;9.0527581777;14.6830308068;18.5381859655;32.21051605;;5;5;0;false;equal_area_spline;true;applied;0.1;0.992851001;0.7200475207;74.484491;74.484491;0;false;1;1;1;1;0;9.197298;14.137262;18.6462185;32.5037125;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351856;-53.655912;EPSG:4326;Brazil;RS;;;10.8981315327;16.3418701043;22.4009818121;46.5568305508;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9961216074;0.3893493127;96.197814;96.197814;0;false;1;1;1;1;0;11.111563;15.7279845;22.748732;46.6095345;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.349145;-53.659754;EPSG:4326;Brazil;RS;;;30.3408196577;33.7038209073;31.3454773308;47.1416671042;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9786639935;2.1801156092;142.531785;142.531785;0;false;1;1;1;1;0;31.806599;30.394818;31.576648;48.75372;
